Name,Domain,Status,Notes,Sources,clean_domain,russian_prop
atamanovskaya-pravda[.]ru,atamanovskaya-pravda[.]ru,,,[17],atamanovskaya-pravda.ru,1
avangard-cv[.]ru,avangard-cv[.]ru,,,[17],avangard-cv.ru,1
avangard-d[.]ru,avangard-d[.]ru,,,[17],avangard-d.ru,1
avangard-os[.]ru,avangard-os[.]ru,,,[17],avangard-os.ru,1
avangard29[.]ru,avangard29[.]ru,,,[17],avangard29.ru,1
avangard57[.]ru,avangard57[.]ru,,,[17],avangard57.ru,1
avturvestnik[.]ru,avturvestnik[.]ru,,,[17],avturvestnik.ru,1
azovski-bereg[.]ru,azovski-bereg[.]ru,,,[17],azovski-bereg.ru,1
b-gazeta[.]ru,b-gazeta[.]ru,,,[17],b-gazeta.ru,1
b-pravda[.]ru,b-pravda[.]ru,,,[17],b-pravda.ru,1
b-volga[.]ru,b-volga[.]ru,,,[17],b-volga.ru,1
babaevogazeta[.]ru,babaevogazeta[.]ru,,,[17],babaevogazeta.ru,1
bachi-yurt[.]ru,bachi-yurt[.]ru,,,[17],bachi-yurt.ru,1
bahchisarai-gazeta[.]ru,bahchisarai-gazeta[.]ru,,,[17],bahchisarai-gazeta.ru,1
bahchisaray-gazeta[.]ru,bahchisaray-gazeta[.]ru,,,[17],bahchisaray-gazeta.ru,1
baikal-ogni[.]ru,baikal-ogni[.]ru,,,[17],baikal-ogni.ru,1
baikalskie-ogni[.]ru,baikalskie-ogni[.]ru,,,[17],baikalskie-ogni.ru,1
bakchar[.]ru,bakchar[.]ru,,,[17],bakchar.ru,1
baksanvesti[.]ru,baksanvesti[.]ru,,,[17],baksanvesti.ru,1
balabanovo-gazeta[.]ru,balabanovo-gazeta[.]ru,,,[17],balabanovo-gazeta.ru,1
balahna-vestnik[.]ru,balahna-vestnik[.]ru,,,[17],balahna-vestnik.ru,1
balaklavski-rybak[.]ru,balaklavski-rybak[.]ru,,,[17],balaklavski-rybak.ru,1
balashiha-news[.]ru,balashiha-news[.]ru,,,[17],balashiha-news.ru,1
baltvedomosti[.]ru,baltvedomosti[.]ru,,,[17],baltvedomosti.ru,1
barabinskie-zemlyaki[.]ru,barabinskie-zemlyaki[.]ru,,,[17],barabinskie-zemlyaki.ru,1
bashiskra[.]ru,bashiskra[.]ru,,,[17],bashiskra.ru,1
bc-sco[.]org,bc-sco[.]org,,,[17],bc-sco.org,1
belkalitva[.]ru,belkalitva[.]ru,,,[17],belkalitva.ru,1
belokruga[.]ru,belokruga[.]ru,,,[17],belokruga.ru,1
belomorskie-vesti[.]ru,belomorskie-vesti[.]ru,,,[17],belomorskie-vesti.ru,1
belovskaya-niva[.]ru,belovskaya-niva[.]ru,,,[17],belovskaya-niva.ru,1
beloyarski-uspeh[.]ru,beloyarski-uspeh[.]ru,,,[17],beloyarski-uspeh.ru,1
belozero[.]ru,belozero[.]ru,,,[17],belozero.ru,1
belpobeda[.]ru,belpobeda[.]ru,,,[17],belpobeda.ru,1
belsmena[.]ru,belsmena[.]ru,,,[17],belsmena.ru,1
belvestnik[.]ru,belvestnik[.]ru,,,[17],belvestnik.ru,1
belzarya[.]ru,belzarya[.]ru,,,[17],belzarya.ru,1
belznamya[.]ru,belznamya[.]ru,,,[17],belznamya.ru,1
belzori[.]ru,belzori[.]ru,,,[17],belzori.ru,1
berbgo[.]ru,berbgo[.]ru,,,[17],berbgo.ru,1
bereg-holmsk[.]ru,bereg-holmsk[.]ru,,,[17],bereg-holmsk.ru,1
berezovski-kurs[.]ru,berezovski-kurs[.]ru,,,[17],berezovski-kurs.ru,1
beya-news[.]ru,beya-news[.]ru,,,[17],beya-news.ru,1
bezhetsk-time[.]ru,bezhetsk-time[.]ru,,,[17],bezhetsk-time.ru,1
big-karachai[.]ru,big-karachai[.]ru,,,[17],big-karachai.ru,1
bigkamen[.]ru,bigkamen[.]ru,,,[17],bigkamen.ru,1
bikin-volna[.]ru,bikin-volna[.]ru,,,[17],bikin-volna.ru,1
biychanka[.]press,biychanka[.]press,,,[17],biychanka.press,1
biznovoch[.]ru,biznovoch[.]ru,,,[17],biznovoch.ru,1
blagodarnensky[.]ru,blagodarnensky[.]ru,,,[17],blagodarnensky.ru,1
bobur[.]ru,bobur[.]ru,,,[17],bobur.ru,1
bogorodsky-variant[.]ru,bogorodsky-variant[.]ru,,,[17],bogorodsky-variant.ru,1
boguchany-vestnik[.]ru,boguchany-vestnik[.]ru,,,[17],boguchany-vestnik.ru,1
boguchar-vesti[.]ru,boguchar-vesti[.]ru,,,[17],boguchar-vesti.ru,1
bogved[.]ru,bogved[.]ru,,,[17],bogved.ru,1
bold-vest[.]ru,bold-vest[.]ru,,,[17],bold-vest.ru,1
bolhov-kur[.]ru,bolhov-kur[.]ru,,,[17],bolhov-kur.ru,1
bolmurta[.]ru,bolmurta[.]ru,,,[17],bolmurta.ru,1
bologoe-info[.]ru,bologoe-info[.]ru,,,[17],bologoe-info.ru,1
boltsaryn[.]ru,boltsaryn[.]ru,,,[17],boltsaryn.ru,1
bor-gorod[.]ru,bor-gorod[.]ru,,,[17],bor-gorod.ru,1
borisoglebskie-vesti[.]ru,borisoglebskie-vesti[.]ru,,,[17],borisoglebskie-vesti.ru,1
borodino-panorama[.]ru,borodino-panorama[.]ru,,,[17],borodino-panorama.ru,1
borovichanin[.]ru,borovichanin[.]ru,,,[17],borovichanin.ru,1
br-perekrestok[.]ru,br-perekrestok[.]ru,,,[17],br-perekrestok.ru,1
brasovkray[.]ru,brasovkray[.]ru,,,[17],brasovkray.ru,1
bryuhovetskaya[.]ru,bryuhovetskaya[.]ru,,,[17],bryuhovetskaya.ru,1
budennovsk-today[.]ru,budennovsk-today[.]ru,,,[17],budennovsk-today.ru,1
budniyashkulya[.]ru,budniyashkulya[.]ru,,,[17],budniyashkulya.ru,1
buinaksk-segodnya[.]ru,buinaksk-segodnya[.]ru,,,[17],buinaksk-segodnya.ru,1
bur-gaz[.]ru,bur-gaz[.]ru,,,[17],bur-gaz.ru,1
bvk-urzhum[.]ru,bvk-urzhum[.]ru,,,[17],bvk-urzhum.ru,1
cargologistic[.]ru,cargologistic[.]ru,,,[17],cargologistic.ru,1
caspium[.]ru,caspium[.]ru,,,[17],caspium.ru,1
chaikovski-vestnik[.]ru,chaikovski-vestnik[.]ru,,,[17],chaikovski-vestnik.ru,1
chainskoe-obozrenie[.]ru,chainskoe-obozrenie[.]ru,,,[17],chainskoe-obozrenie.ru,1
chapliginski[.]ru,chapliginski[.]ru,,,[17],chapliginski.ru,1
chastnoe-mnenie[.]ru,chastnoe-mnenie[.]ru,,,[17],chastnoe-mnenie.ru,1
chegdomin[.]ru,chegdomin[.]ru,,,[17],chegdomin.ru,1
cherekvesti[.]ru,cherekvesti[.]ru,,,[17],cherekvesti.ru,1
cheremhovo-vedomosti[.]ru,cheremhovo-vedomosti[.]ru,,,[17],cheremhovo-vedomosti.ru,1
cheremhovskie-vedomosti[.]ru,cheremhovskie-vedomosti[.]ru,,,[17],cheremhovskie-vedomosti.ru,1
chernogorsk-city[.]ru,chernogorsk-city[.]ru,,,[17],chernogorsk-city.ru,1
chernomor[.]press,chernomor[.]press,,,[17],chernomor.press,1
chernoyarets[.]ru,chernoyarets[.]ru,,,[17],chernoyarets.ru,1
chudovski-kolokol[.]ru,chudovski-kolokol[.]ru,,,[17],chudovski-kolokol.ru,1
chulman-vesti[.]ru,chulman-vesti[.]ru,,,[17],chulman-vesti.ru,1
churapchy[.]ru,churapchy[.]ru,,,[17],churapchy.ru,1
chvestnik[.]ru,chvestnik[.]ru,,,[17],chvestnik.ru,1
chyi[.]ru,chyi[.]ru,,,[17],chyi.ru,1
dagkrim[.]ru,dagkrim[.]ru,,,[17],dagkrim.ru,1
dal-pravda[.]ru,dal-pravda[.]ru,,,[17],dal-pravda.ru,1
dalmatovskaya-niva[.]ru,dalmatovskaya-niva[.]ru,,,[17],dalmatovskaya-niva.ru,1
dalnerech[.]ru,dalnerech[.]ru,,,[17],dalnerech.ru,1
dalnereche[.]ru,dalnereche[.]ru,,,[17],dalnereche.ru,1
danilov-obozrenie[.]ru,danilov-obozrenie[.]ru,,,[17],danilov-obozrenie.ru,1
dankov-panorama[.]ru,dankov-panorama[.]ru,,,[17],dankov-panorama.ru,1
davydovskaya-poima[.]ru,davydovskaya-poima[.]ru,,,[17],davydovskaya-poima.ru,1
dedovichi[.]ru,dedovichi[.]ru,,,[17],dedovichi.ru,1
delklintsy[.]ru,delklintsy[.]ru,,,[17],delklintsy.ru,1
delkolchugino[.]ru,delkolchugino[.]ru,,,[17],delkolchugino.ru,1
delkurganinsk[.]ru,delkurganinsk[.]ru,,,[17],delkurganinsk.ru,1
delovaya-istra[.]ru,delovaya-istra[.]ru,,,[17],delovaya-istra.ru,1
delovayanyurba[.]ru,delovayanyurba[.]ru,,,[17],delovayanyurba.ru,1
delovoi-labinsk[.]ru,delovoi-labinsk[.]ru,,,[17],delovoi-labinsk.ru,1
demyanskaya-okruga[.]ru,demyanskaya-okruga[.]ru,,,[17],demyanskaya-okruga.ru,1
denis-kravchenko[.]ru,denis-kravchenko[.]ru,,,[17],denis-kravchenko.ru,1
deniskravchenko[.]ru,deniskravchenko[.]ru,,,[17],deniskravchenko.ru,1
derbent-vechorka[.]ru,derbent-vechorka[.]ru,,,[17],derbent-vechorka.ru,1
desnogorsk-news[.]ru,desnogorsk-news[.]ru,,,[17],desnogorsk-news.ru,1
dialog-kam[.]ru,dialog-kam[.]ru,,,[17],dialog-kam.ru,1
dialog-pikalevo[.]ru,dialog-pikalevo[.]ru,,,[17],dialog-pikalevo.ru,1
dialogkarel[.]ru,dialogkarel[.]ru,,,[17],dialogkarel.ru,1
digora-vesti[.]ru,digora-vesti[.]ru,,,[17],digora-vesti.ru,1
digvesti[.]ru,digvesti[.]ru,,,[17],digvesti.ru,1
dinskaya-pravda[.]ru,dinskaya-pravda[.]ru,,,[17],dinskaya-pravda.ru,1
dinskaya-zhizn[.]ru,dinskaya-zhizn[.]ru,,,[17],dinskaya-zhizn.ru,1
diplomatica[.]ru,diplomatica[.]ru,,,[17],diplomatica.ru,1
dni-kulebaki[.]ru,dni-kulebaki[.]ru,,,[17],dni-kulebaki.ru,1
dnovets[.]ru,dnovets[.]ru,,,[17],dnovets.ru,1
